starttime	seconds	ctime	dtime	ttime	wait
Fri Aug 09 09:11:35 2024	1723187495	1	1450	1451	1440
Fri Aug 09 09:11:44 2024	1723187504	0	1453	1453	1231
Fri Aug 09 09:11:39 2024	1723187499	1	1454	1454	1449
Fri Aug 09 09:11:46 2024	1723187506	0	1456	1456	1364
Fri Aug 09 09:11:37 2024	1723187497	1	1456	1457	1220
Fri Aug 09 09:11:39 2024	1723187499	1	1457	1457	1270
Fri Aug 09 09:11:30 2024	1723187490	0	1459	1460	1376
Fri Aug 09 09:11:44 2024	1723187504	0	1462	1462	1460
Fri Aug 09 09:11:30 2024	1723187490	0	1463	1463	1272
Fri Aug 09 09:11:49 2024	1723187509	0	1465	1465	1097
Fri Aug 09 09:11:36 2024	1723187496	0	1465	1466	1373
Fri Aug 09 09:11:35 2024	1723187495	0	1466	1466	1361
Fri Aug 09 09:11:48 2024	1723187508	0	1466	1466	1135
Fri Aug 09 09:11:36 2024	1723187496	3	1463	1466	1353
Fri Aug 09 09:11:42 2024	1723187502	0	1467	1468	1351
Fri Aug 09 09:11:35 2024	1723187495	0	1470	1470	1262
Fri Aug 09 09:11:35 2024	1723187495	0	1472	1472	1457
Fri Aug 09 09:11:35 2024	1723187495	0	1474	1474	1450
Fri Aug 09 09:11:39 2024	1723187499	1	1475	1476	1215
Fri Aug 09 09:11:38 2024	1723187498	0	1478	1478	1243
Fri Aug 09 09:11:49 2024	1723187509	1	1479	1480	1102
Fri Aug 09 09:11:47 2024	1723187507	1	1481	1481	1370
Fri Aug 09 09:11:44 2024	1723187504	0	1483	1483	1403
Fri Aug 09 09:11:50 2024	1723187510	0	1485	1485	931
Fri Aug 09 09:11:33 2024	1723187493	0	1485	1485	1335
Fri Aug 09 09:11:33 2024	1723187493	0	1486	1486	747
Fri Aug 09 09:11:39 2024	1723187499	0	1486	1487	1485
Fri Aug 09 09:11:33 2024	1723187493	0	1487	1487	1142
Fri Aug 09 09:11:42 2024	1723187502	0	1487	1488	1486
Fri Aug 09 09:11:29 2024	1723187489	0	1488	1489	1486
Fri Aug 09 09:11:45 2024	1723187505	0	1490	1490	1485
Fri Aug 09 09:11:29 2024	1723187489	0	1492	1493	1464
Fri Aug 09 09:11:40 2024	1723187500	0	1493	1493	1383
Fri Aug 09 09:11:36 2024	1723187496	0	1494	1495	1366
Fri Aug 09 09:11:36 2024	1723187496	0	1495	1495	1244
Fri Aug 09 09:11:42 2024	1723187502	0	1495	1495	1492
Fri Aug 09 09:11:51 2024	1723187511	1	1496	1496	901
Fri Aug 09 09:11:44 2024	1723187504	0	1496	1497	1326
Fri Aug 09 09:11:29 2024	1723187489	0	1497	1497	1319
Fri Aug 09 09:11:42 2024	1723187502	0	1497	1497	1372
Fri Aug 09 09:11:37 2024	1723187497	0	1500	1500	1380
Fri Aug 09 09:11:38 2024	1723187498	0	1500	1500	1201
Fri Aug 09 09:11:49 2024	1723187509	0	1500	1500	1130
Fri Aug 09 09:11:35 2024	1723187495	0	1500	1501	1454
Fri Aug 09 09:11:50 2024	1723187510	0	1501	1501	1480
Fri Aug 09 09:11:42 2024	1723187502	1	1500	1501	1447
Fri Aug 09 09:11:38 2024	1723187498	0	1502	1503	1237
Fri Aug 09 09:11:36 2024	1723187496	0	1503	1503	1331
Fri Aug 09 09:11:48 2024	1723187508	1	1502	1503	973
Fri Aug 09 09:11:30 2024	1723187490	0	1503	1503	1286
Fri Aug 09 09:11:44 2024	1723187504	1	1502	1503	1144
Fri Aug 09 09:11:40 2024	1723187500	0	1505	1505	1256
Fri Aug 09 09:11:49 2024	1723187509	0	1505	1505	1502
Fri Aug 09 09:11:43 2024	1723187503	0	1508	1508	1356
Fri Aug 09 09:11:30 2024	1723187490	0	1508	1508	1193
Fri Aug 09 09:11:41 2024	1723187501	0	1509	1509	1507
Fri Aug 09 09:11:48 2024	1723187508	0	1512	1512	1470
Fri Aug 09 09:11:32 2024	1723187492	0	1512	1512	1265
Fri Aug 09 09:11:50 2024	1723187510	0	1512	1513	919
Fri Aug 09 09:11:39 2024	1723187499	0	1514	1514	1510
Fri Aug 09 09:11:45 2024	1723187505	0	1514	1514	1393
Fri Aug 09 09:11:33 2024	1723187493	0	1515	1515	1179
Fri Aug 09 09:11:41 2024	1723187501	0	1516	1517	1491
Fri Aug 09 09:11:42 2024	1723187502	0	1517	1517	1387
Fri Aug 09 09:11:30 2024	1723187490	0	1517	1517	1350
Fri Aug 09 09:11:42 2024	1723187502	0	1517	1517	1433
Fri Aug 09 09:11:36 2024	1723187496	0	1520	1520	1516
Fri Aug 09 09:11:39 2024	1723187499	1	1519	1520	1497
Fri Aug 09 09:11:30 2024	1723187490	0	1523	1523	1407
Fri Aug 09 09:11:38 2024	1723187498	0	1524	1524	1323
Fri Aug 09 09:11:46 2024	1723187506	0	1526	1526	1398
Fri Aug 09 09:11:48 2024	1723187508	0	1526	1526	917
Fri Aug 09 09:11:46 2024	1723187506	0	1527	1527	1344
Fri Aug 09 09:11:30 2024	1723187490	0	1527	1527	1497
Fri Aug 09 09:11:36 2024	1723187496	0	1528	1528	1527
Fri Aug 09 09:11:51 2024	1723187511	1	1528	1528	1442
Fri Aug 09 09:11:35 2024	1723187495	0	1530	1530	1202
Fri Aug 09 09:11:35 2024	1723187495	0	1531	1531	1413
Fri Aug 09 09:11:44 2024	1723187504	0	1532	1532	1531
Fri Aug 09 09:11:31 2024	1723187491	0	1533	1533	1249
Fri Aug 09 09:11:40 2024	1723187500	0	1533	1533	1532
Fri Aug 09 09:11:36 2024	1723187496	1	1533	1534	1419
Fri Aug 09 09:11:38 2024	1723187498	0	1538	1538	1246
Fri Aug 09 09:11:28 2024	1723187488	4	1534	1538	1316
Fri Aug 09 09:11:40 2024	1723187500	0	1538	1538	1537
Fri Aug 09 09:11:38 2024	1723187498	0	1538	1539	1277
Fri Aug 09 09:11:44 2024	1723187504	0	1538	1539	1538
Fri Aug 09 09:11:41 2024	1723187501	0	1539	1539	1125
Fri Aug 09 09:11:35 2024	1723187495	0	1539	1539	1061
Fri Aug 09 09:11:28 2024	1723187488	2	1537	1540	1536
Fri Aug 09 09:11:45 2024	1723187505	0	1540	1540	1499
Fri Aug 09 09:11:42 2024	1723187502	0	1541	1541	1540
Fri Aug 09 09:11:28 2024	1723187488	6	1537	1543	1319
Fri Aug 09 09:11:30 2024	1723187490	0	1543	1543	1447
Fri Aug 09 09:11:28 2024	1723187488	2	1541	1543	1403
Fri Aug 09 09:11:49 2024	1723187509	0	1543	1543	1413
Fri Aug 09 09:11:28 2024	1723187488	5	1539	1544	1371
Fri Aug 09 09:11:41 2024	1723187501	0	1544	1544	1288
Fri Aug 09 09:11:47 2024	1723187507	0	1545	1545	1204
Fri Aug 09 09:11:28 2024	1723187488	3	1542	1545	1431
Fri Aug 09 09:11:37 2024	1723187497	0	1545	1545	1228
Fri Aug 09 09:11:28 2024	1723187488	4	1542	1546	1511
Fri Aug 09 09:11:28 2024	1723187488	7	1540	1546	1353
Fri Aug 09 09:11:28 2024	1723187488	5	1542	1547	1418
Fri Aug 09 09:11:45 2024	1723187505	0	1548	1548	1451
Fri Aug 09 09:11:29 2024	1723187489	0	1548	1549	1547
Fri Aug 09 09:11:34 2024	1723187494	0	1549	1549	725
Fri Aug 09 09:11:41 2024	1723187501	0	1549	1549	1520
Fri Aug 09 09:11:45 2024	1723187505	0	1549	1549	1284
Fri Aug 09 09:11:29 2024	1723187489	0	1550	1550	1446
Fri Aug 09 09:11:36 2024	1723187496	0	1550	1550	1312
Fri Aug 09 09:11:28 2024	1723187488	7	1544	1551	1311
Fri Aug 09 09:11:35 2024	1723187495	0	1551	1551	1398
Fri Aug 09 09:11:36 2024	1723187496	0	1554	1555	1429
Fri Aug 09 09:11:43 2024	1723187503	0	1555	1555	1250
Fri Aug 09 09:11:42 2024	1723187502	0	1558	1558	1555
Fri Aug 09 09:11:39 2024	1723187499	1	1557	1558	1360
Fri Aug 09 09:11:28 2024	1723187488	4	1556	1560	1554
Fri Aug 09 09:11:30 2024	1723187490	1	1560	1561	1482
Fri Aug 09 09:11:42 2024	1723187502	0	1561	1561	1383
Fri Aug 09 09:11:41 2024	1723187501	1	1564	1565	870
Fri Aug 09 09:11:31 2024	1723187491	0	1566	1566	1564
Fri Aug 09 09:11:29 2024	1723187489	0	1566	1566	1451
Fri Aug 09 09:11:36 2024	1723187496	0	1566	1566	1150
Fri Aug 09 09:11:29 2024	1723187489	0	1567	1567	1479
Fri Aug 09 09:11:36 2024	1723187496	0	1567	1567	1473
Fri Aug 09 09:11:35 2024	1723187495	0	1567	1568	1454
Fri Aug 09 09:11:43 2024	1723187503	0	1570	1570	1569
Fri Aug 09 09:11:33 2024	1723187493	0	1570	1570	1437
Fri Aug 09 09:11:37 2024	1723187497	0	1571	1572	1300
Fri Aug 09 09:11:30 2024	1723187490	0	1573	1573	1572
Fri Aug 09 09:11:47 2024	1723187507	0	1573	1574	1496
Fri Aug 09 09:11:41 2024	1723187501	0	1575	1575	1520
Fri Aug 09 09:11:37 2024	1723187497	1	1576	1576	1365
Fri Aug 09 09:11:44 2024	1723187504	0	1578	1578	1496
Fri Aug 09 09:11:46 2024	1723187506	0	1578	1579	1252
Fri Aug 09 09:11:36 2024	1723187496	0	1578	1579	1313
Fri Aug 09 09:11:49 2024	1723187509	0	1579	1579	953
Fri Aug 09 09:11:51 2024	1723187511	1	1578	1579	1335
Fri Aug 09 09:11:42 2024	1723187502	0	1580	1580	1427
Fri Aug 09 09:11:33 2024	1723187493	0	1580	1581	1150
Fri Aug 09 09:11:44 2024	1723187504	0	1580	1581	1513
Fri Aug 09 09:11:42 2024	1723187502	0	1581	1581	1427
Fri Aug 09 09:11:42 2024	1723187502	0	1582	1582	1523
Fri Aug 09 09:11:42 2024	1723187502	0	1582	1582	1497
Fri Aug 09 09:11:45 2024	1723187505	0	1583	1583	1582
Fri Aug 09 09:11:38 2024	1723187498	0	1583	1583	1580
Fri Aug 09 09:11:32 2024	1723187492	0	1584	1585	1390
Fri Aug 09 09:11:37 2024	1723187497	0	1585	1585	1226
Fri Aug 09 09:11:31 2024	1723187491	0	1585	1586	1351
Fri Aug 09 09:11:30 2024	1723187490	0	1587	1587	1174
Fri Aug 09 09:11:42 2024	1723187502	0	1588	1588	1366
Fri Aug 09 09:11:30 2024	1723187490	0	1593	1593	1386
Fri Aug 09 09:11:39 2024	1723187499	0	1594	1594	1368
Fri Aug 09 09:11:49 2024	1723187509	0	1595	1595	1131
Fri Aug 09 09:11:36 2024	1723187496	0	1598	1598	1180
Fri Aug 09 09:11:35 2024	1723187495	0	1599	1599	1510
Fri Aug 09 09:11:39 2024	1723187499	0	1599	1599	1227
Fri Aug 09 09:11:41 2024	1723187501	1	1600	1600	1544
Fri Aug 09 09:11:29 2024	1723187489	0	1603	1603	1602
Fri Aug 09 09:11:33 2024	1723187493	0	1603	1603	1483
Fri Aug 09 09:11:37 2024	1723187497	0	1606	1606	1454
Fri Aug 09 09:11:50 2024	1723187510	0	1606	1606	1083
Fri Aug 09 09:11:48 2024	1723187508	1	1606	1607	1605
Fri Aug 09 09:11:36 2024	1723187496	0	1608	1609	1481
Fri Aug 09 09:11:44 2024	1723187504	1	1609	1609	1498
Fri Aug 09 09:11:49 2024	1723187509	0	1610	1610	988
Fri Aug 09 09:11:42 2024	1723187502	0	1611	1611	1543
Fri Aug 09 09:11:37 2024	1723187497	0	1614	1614	1429
Fri Aug 09 09:11:42 2024	1723187502	0	1614	1614	1545
Fri Aug 09 09:11:42 2024	1723187502	0	1617	1617	1395
Fri Aug 09 09:11:49 2024	1723187509	0	1617	1617	1235
Fri Aug 09 09:11:36 2024	1723187496	0	1617	1617	1615
Fri Aug 09 09:11:42 2024	1723187502	0	1620	1620	1453
Fri Aug 09 09:11:44 2024	1723187504	0	1622	1622	1455
Fri Aug 09 09:11:36 2024	1723187496	0	1622	1622	1177
Fri Aug 09 09:11:42 2024	1723187502	0	1622	1622	1546
Fri Aug 09 09:11:31 2024	1723187491	0	1624	1624	945
Fri Aug 09 09:11:44 2024	1723187504	0	1624	1624	1529
Fri Aug 09 09:11:49 2024	1723187509	0	1624	1625	1241
Fri Aug 09 09:11:30 2024	1723187490	0	1626	1627	1277
Fri Aug 09 09:11:47 2024	1723187507	0	1627	1627	1184
Fri Aug 09 09:11:42 2024	1723187502	0	1629	1629	1551
Fri Aug 09 09:11:33 2024	1723187493	0	1629	1630	1520
Fri Aug 09 09:11:33 2024	1723187493	0	1630	1630	1298
Fri Aug 09 09:11:49 2024	1723187509	0	1631	1632	958
Fri Aug 09 09:11:48 2024	1723187508	0	1632	1633	1483
Fri Aug 09 09:11:39 2024	1723187499	0	1633	1634	1418
Fri Aug 09 09:11:50 2024	1723187510	0	1635	1636	1355
Fri Aug 09 09:11:50 2024	1723187510	0	1636	1636	1602
Fri Aug 09 09:11:29 2024	1723187489	0	1641	1641	1478
Fri Aug 09 09:11:36 2024	1723187496	0	1641	1641	1516
Fri Aug 09 09:11:33 2024	1723187493	0	1642	1642	934
Fri Aug 09 09:11:48 2024	1723187508	0	1642	1642	1429
Fri Aug 09 09:11:30 2024	1723187490	0	1642	1642	1291
Fri Aug 09 09:11:30 2024	1723187490	0	1644	1644	1450
Fri Aug 09 09:11:49 2024	1723187509	0	1644	1644	1497
Fri Aug 09 09:11:33 2024	1723187493	0	1645	1645	1543
Fri Aug 09 09:11:39 2024	1723187499	1	1645	1646	1336
Fri Aug 09 09:11:31 2024	1723187491	0	1647	1647	970
Fri Aug 09 09:11:51 2024	1723187511	0	1647	1647	980
Fri Aug 09 09:11:33 2024	1723187493	0	1647	1648	1359
Fri Aug 09 09:11:33 2024	1723187493	0	1649	1649	1103
Fri Aug 09 09:11:48 2024	1723187508	0	1649	1649	1468
Fri Aug 09 09:11:29 2024	1723187489	0	1649	1649	1534
Fri Aug 09 09:11:48 2024	1723187508	0	1649	1649	1389
Fri Aug 09 09:11:34 2024	1723187494	0	1650	1650	1647
Fri Aug 09 09:11:34 2024	1723187494	0	1650	1650	1647
Fri Aug 09 09:11:47 2024	1723187507	0	1651	1651	1533
Fri Aug 09 09:11:35 2024	1723187495	0	1651	1651	1650
Fri Aug 09 09:11:39 2024	1723187499	0	1651	1652	1195
Fri Aug 09 09:11:48 2024	1723187508	0	1652	1652	1650
Fri Aug 09 09:11:49 2024	1723187509	0	1652	1652	1526
Fri Aug 09 09:11:48 2024	1723187508	0	1652	1652	1651
Fri Aug 09 09:11:50 2024	1723187510	0	1654	1654	1141
Fri Aug 09 09:11:42 2024	1723187502	0	1654	1654	1650
Fri Aug 09 09:11:42 2024	1723187502	0	1656	1656	824
Fri Aug 09 09:11:40 2024	1723187500	0	1656	1656	1084
Fri Aug 09 09:11:44 2024	1723187504	0	1656	1656	1503
Fri Aug 09 09:11:36 2024	1723187496	0	1657	1657	1539
Fri Aug 09 09:11:48 2024	1723187508	0	1657	1657	1393
Fri Aug 09 09:11:34 2024	1723187494	0	1658	1658	1218
Fri Aug 09 09:11:37 2024	1723187497	0	1658	1658	1358
Fri Aug 09 09:11:42 2024	1723187502	0	1658	1658	1657
Fri Aug 09 09:11:47 2024	1723187507	0	1659	1659	1602
Fri Aug 09 09:11:44 2024	1723187504	0	1660	1660	1659
Fri Aug 09 09:11:48 2024	1723187508	1	1660	1661	1518
Fri Aug 09 09:11:33 2024	1723187493	0	1661	1662	1312
Fri Aug 09 09:11:48 2024	1723187508	0	1663	1663	374
Fri Aug 09 09:11:33 2024	1723187493	0	1664	1664	1592
Fri Aug 09 09:11:34 2024	1723187494	0	1664	1664	1654
Fri Aug 09 09:11:33 2024	1723187493	0	1664	1664	1147
Fri Aug 09 09:11:47 2024	1723187507	0	1665	1665	1664
Fri Aug 09 09:11:48 2024	1723187508	0	1665	1665	1664
Fri Aug 09 09:11:34 2024	1723187494	0	1666	1666	1643
Fri Aug 09 09:11:33 2024	1723187493	0	1666	1667	1582
Fri Aug 09 09:11:48 2024	1723187508	0	1666	1667	1468
Fri Aug 09 09:11:36 2024	1723187496	0	1667	1668	1666
Fri Aug 09 09:11:33 2024	1723187493	0	1667	1668	1664
Fri Aug 09 09:11:45 2024	1723187505	0	1671	1671	1554
Fri Aug 09 09:11:50 2024	1723187510	0	1677	1677	1462
Fri Aug 09 09:11:44 2024	1723187504	0	1677	1677	1558
Fri Aug 09 09:11:47 2024	1723187507	0	1677	1677	1672
Fri Aug 09 09:11:37 2024	1723187497	0	1677	1678	1328
Fri Aug 09 09:11:33 2024	1723187493	0	1680	1680	1605
Fri Aug 09 09:11:39 2024	1723187499	0	1681	1681	744
Fri Aug 09 09:11:35 2024	1723187495	0	1685	1685	1681
Fri Aug 09 09:11:48 2024	1723187508	0	1685	1685	1682
Fri Aug 09 09:11:49 2024	1723187509	0	1686	1686	1476
Fri Aug 09 09:11:30 2024	1723187490	0	1685	1686	1327
Fri Aug 09 09:11:33 2024	1723187493	0	1689	1689	1687
Fri Aug 09 09:11:31 2024	1723187491	0	1690	1690	1416
Fri Aug 09 09:11:36 2024	1723187496	0	1691	1691	1552
Fri Aug 09 09:11:39 2024	1723187499	0	1694	1694	1283
Fri Aug 09 09:11:38 2024	1723187498	0	1695	1695	857
Fri Aug 09 09:11:33 2024	1723187493	0	1696	1696	1456
Fri Aug 09 09:11:31 2024	1723187491	0	1697	1697	1483
Fri Aug 09 09:11:48 2024	1723187508	0	1702	1702	1411
Fri Aug 09 09:11:30 2024	1723187490	1	1703	1703	1506
Fri Aug 09 09:11:29 2024	1723187489	0	1704	1704	1516
Fri Aug 09 09:11:44 2024	1723187504	1	1704	1705	1584
Fri Aug 09 09:11:30 2024	1723187490	0	1704	1705	1641
Fri Aug 09 09:11:28 2024	1723187488	2	1703	1705	1502
Fri Aug 09 09:11:28 2024	1723187488	4	1703	1707	1504
Fri Aug 09 09:11:40 2024	1723187500	0	1707	1708	1314
Fri Aug 09 09:11:28 2024	1723187488	6	1702	1708	1626
Fri Aug 09 09:11:28 2024	1723187488	5	1703	1708	1408
Fri Aug 09 09:11:28 2024	1723187488	4	1704	1708	1512
Fri Aug 09 09:11:28 2024	1723187488	5	1704	1708	1534
Fri Aug 09 09:11:28 2024	1723187488	4	1704	1709	1645
Fri Aug 09 09:11:28 2024	1723187488	4	1705	1709	1608
Fri Aug 09 09:11:28 2024	1723187488	6	1704	1710	1632
Fri Aug 09 09:11:28 2024	1723187488	5	1705	1710	1376
Fri Aug 09 09:11:28 2024	1723187488	4	1707	1711	1422
Fri Aug 09 09:11:42 2024	1723187502	0	1711	1711	1647
Fri Aug 09 09:11:28 2024	1723187488	7	1705	1712	1577
Fri Aug 09 09:11:28 2024	1723187488	5	1707	1712	1506
Fri Aug 09 09:11:28 2024	1723187488	7	1705	1712	1577
Fri Aug 09 09:11:36 2024	1723187496	0	1713	1713	1549
Fri Aug 09 09:11:48 2024	1723187508	0	1713	1713	1267
Fri Aug 09 09:11:50 2024	1723187510	0	1714	1714	1300
Fri Aug 09 09:11:33 2024	1723187493	0	1714	1715	1467
Fri Aug 09 09:11:51 2024	1723187511	0	1714	1715	1351
Fri Aug 09 09:11:33 2024	1723187493	0	1715	1715	1661
Fri Aug 09 09:11:48 2024	1723187508	0	1716	1716	1714
Fri Aug 09 09:11:40 2024	1723187500	0	1716	1716	1322
Fri Aug 09 09:11:47 2024	1723187507	0	1716	1716	1507
Fri Aug 09 09:11:38 2024	1723187498	0	1717	1717	572
Fri Aug 09 09:11:39 2024	1723187499	0	1717	1717	1715
Fri Aug 09 09:11:35 2024	1723187495	0	1717	1717	1465
Fri Aug 09 09:11:39 2024	1723187499	0	1719	1719	1439
Fri Aug 09 09:11:34 2024	1723187494	0	1720	1720	1703
Fri Aug 09 09:11:48 2024	1723187508	0	1721	1722	922
Fri Aug 09 09:11:45 2024	1723187505	0	1722	1722	1585
Fri Aug 09 09:11:33 2024	1723187493	0	1722	1722	1694
Fri Aug 09 09:11:42 2024	1723187502	1	1722	1723	1439
Fri Aug 09 09:11:35 2024	1723187495	0	1724	1724	1722
Fri Aug 09 09:11:29 2024	1723187489	0	1724	1724	1722
Fri Aug 09 09:11:33 2024	1723187493	0	1724	1724	708
Fri Aug 09 09:11:43 2024	1723187503	0	1724	1724	1723
Fri Aug 09 09:11:34 2024	1723187494	0	1726	1726	1689
Fri Aug 09 09:11:30 2024	1723187490	0	1727	1727	1337
Fri Aug 09 09:11:48 2024	1723187508	0	1727	1727	1525
Fri Aug 09 09:11:35 2024	1723187495	0	1727	1727	1432
Fri Aug 09 09:11:38 2024	1723187498	0	1730	1730	924
Fri Aug 09 09:11:48 2024	1723187508	0	1730	1731	1541
Fri Aug 09 09:11:44 2024	1723187504	0	1735	1735	1733
Fri Aug 09 09:11:31 2024	1723187491	0	1735	1735	1734
Fri Aug 09 09:11:47 2024	1723187507	0	1735	1735	1730
Fri Aug 09 09:11:47 2024	1723187507	0	1738	1739	1734
Fri Aug 09 09:11:44 2024	1723187504	0	1739	1739	1137
Fri Aug 09 09:11:40 2024	1723187500	0	1739	1739	1541
Fri Aug 09 09:11:34 2024	1723187494	0	1739	1739	1703
Fri Aug 09 09:11:46 2024	1723187506	0	1741	1741	1341
Fri Aug 09 09:11:38 2024	1723187498	0	1742	1743	755
Fri Aug 09 09:11:42 2024	1723187502	0	1744	1744	1518
Fri Aug 09 09:11:31 2024	1723187491	0	1745	1745	1552
Fri Aug 09 09:11:44 2024	1723187504	0	1746	1746	1519
Fri Aug 09 09:11:35 2024	1723187495	0	1746	1746	1744
Fri Aug 09 09:11:44 2024	1723187504	0	1748	1748	1619
Fri Aug 09 09:11:42 2024	1723187502	0	1749	1749	1678
Fri Aug 09 09:11:47 2024	1723187507	0	1752	1752	1320
Fri Aug 09 09:11:33 2024	1723187493	0	1752	1753	1666
Fri Aug 09 09:11:33 2024	1723187493	0	1755	1755	1714
Fri Aug 09 09:11:42 2024	1723187502	0	1755	1755	1754
Fri Aug 09 09:11:39 2024	1723187499	0	1756	1756	1500
Fri Aug 09 09:11:44 2024	1723187504	0	1758	1758	1609
Fri Aug 09 09:11:40 2024	1723187500	0	1761	1761	1684
Fri Aug 09 09:11:47 2024	1723187507	0	1764	1764	1393
Fri Aug 09 09:11:48 2024	1723187508	0	1764	1764	1616
Fri Aug 09 09:11:32 2024	1723187492	0	1766	1766	1271
Fri Aug 09 09:11:47 2024	1723187507	0	1767	1767	1762
Fri Aug 09 09:11:33 2024	1723187493	0	1767	1767	1721
Fri Aug 09 09:11:48 2024	1723187508	0	1769	1769	1768
Fri Aug 09 09:11:30 2024	1723187490	0	1771	1771	1627
Fri Aug 09 09:11:34 2024	1723187494	0	1774	1774	1773
Fri Aug 09 09:11:36 2024	1723187496	0	1774	1774	1497
Fri Aug 09 09:11:39 2024	1723187499	2	1775	1776	1774
Fri Aug 09 09:11:50 2024	1723187510	0	1781	1782	1204
Fri Aug 09 09:11:44 2024	1723187504	0	1783	1783	1667
Fri Aug 09 09:11:41 2024	1723187501	1	1785	1785	1675
Fri Aug 09 09:11:31 2024	1723187491	0	1789	1789	1402
Fri Aug 09 09:11:39 2024	1723187499	0	1789	1790	1423
Fri Aug 09 09:11:39 2024	1723187499	0	1790	1790	1212
Fri Aug 09 09:11:32 2024	1723187492	1	1789	1790	1789
Fri Aug 09 09:11:28 2024	1723187488	5	1785	1791	1380
Fri Aug 09 09:11:31 2024	1723187491	0	1791	1791	1192
Fri Aug 09 09:11:37 2024	1723187497	0	1792	1793	1481
Fri Aug 09 09:11:42 2024	1723187502	0	1793	1793	1665
Fri Aug 09 09:11:33 2024	1723187493	0	1796	1796	1742
Fri Aug 09 09:11:39 2024	1723187499	0	1796	1797	1535
Fri Aug 09 09:11:42 2024	1723187502	0	1798	1798	1701
Fri Aug 09 09:11:44 2024	1723187504	3	1798	1800	1634
Fri Aug 09 09:11:46 2024	1723187506	0	1800	1800	1560
Fri Aug 09 09:11:39 2024	1723187499	0	1801	1801	1796
Fri Aug 09 09:11:49 2024	1723187509	0	1802	1802	1666
Fri Aug 09 09:11:33 2024	1723187493	0	1802	1803	1594
Fri Aug 09 09:11:35 2024	1723187495	0	1805	1805	1470
Fri Aug 09 09:11:42 2024	1723187502	0	1807	1807	1736
Fri Aug 09 09:11:45 2024	1723187505	0	1809	1809	1808
Fri Aug 09 09:11:31 2024	1723187491	0	1816	1816	1803
Fri Aug 09 09:11:35 2024	1723187495	0	1816	1816	1544
Fri Aug 09 09:11:39 2024	1723187499	1	1819	1820	1664
Fri Aug 09 09:11:30 2024	1723187490	0	1819	1820	1705
Fri Aug 09 09:11:33 2024	1723187493	0	1823	1824	1818
Fri Aug 09 09:11:41 2024	1723187501	0	1824	1824	1823
Fri Aug 09 09:11:28 2024	1723187488	7	1818	1824	1646
Fri Aug 09 09:11:48 2024	1723187508	2	1824	1826	1822
Fri Aug 09 09:11:34 2024	1723187494	0	1826	1826	1819
Fri Aug 09 09:11:50 2024	1723187510	0	1829	1829	1678
Fri Aug 09 09:11:33 2024	1723187493	0	1830	1830	1339
Fri Aug 09 09:11:36 2024	1723187496	0	1831	1831	1794
Fri Aug 09 09:11:42 2024	1723187502	0	1831	1832	1764
Fri Aug 09 09:11:39 2024	1723187499	0	1832	1832	1718
Fri Aug 09 09:11:42 2024	1723187502	0	1832	1833	1756
Fri Aug 09 09:11:44 2024	1723187504	0	1833	1833	1831
Fri Aug 09 09:11:33 2024	1723187493	0	1836	1836	1834
Fri Aug 09 09:11:36 2024	1723187496	0	1839	1840	1745
Fri Aug 09 09:11:33 2024	1723187493	0	1839	1840	1375
Fri Aug 09 09:11:36 2024	1723187496	3	1838	1841	1706
Fri Aug 09 09:11:44 2024	1723187504	0	1841	1842	1840
Fri Aug 09 09:11:48 2024	1723187508	0	1842	1842	987
Fri Aug 09 09:11:47 2024	1723187507	0	1843	1844	1762
Fri Aug 09 09:11:51 2024	1723187511	1	1843	1844	1105
Fri Aug 09 09:11:44 2024	1723187504	0	1849	1849	1631
Fri Aug 09 09:11:39 2024	1723187499	0	1851	1851	1408
Fri Aug 09 09:11:31 2024	1723187491	0	1854	1854	1422
Fri Aug 09 09:11:36 2024	1723187496	0	1856	1856	1854
Fri Aug 09 09:11:38 2024	1723187498	7	1852	1859	1463
Fri Aug 09 09:11:51 2024	1723187511	0	1860	1860	1668
Fri Aug 09 09:11:44 2024	1723187504	0	1862	1862	1634
Fri Aug 09 09:11:42 2024	1723187502	0	1862	1863	1862
Fri Aug 09 09:11:46 2024	1723187506	0	1865	1865	1645
Fri Aug 09 09:11:48 2024	1723187508	0	1865	1865	1652
Fri Aug 09 09:11:30 2024	1723187490	0	1865	1865	1550
Fri Aug 09 09:11:47 2024	1723187507	0	1866	1866	1546
Fri Aug 09 09:11:31 2024	1723187491	0	1869	1869	1347
Fri Aug 09 09:11:36 2024	1723187496	0	1870	1870	1677
Fri Aug 09 09:11:31 2024	1723187491	0	1870	1871	1254
Fri Aug 09 09:11:35 2024	1723187495	0	1872	1872	1770
Fri Aug 09 09:11:46 2024	1723187506	0	1872	1872	1819
Fri Aug 09 09:11:45 2024	1723187505	0	1877	1877	1859
Fri Aug 09 09:11:47 2024	1723187507	0	1878	1878	1877
Fri Aug 09 09:11:28 2024	1723187488	4	1874	1879	1753
Fri Aug 09 09:11:28 2024	1723187488	4	1875	1879	1753
Fri Aug 09 09:11:39 2024	1723187499	0	1879	1879	1672
Fri Aug 09 09:11:36 2024	1723187496	0	1880	1881	1699
Fri Aug 09 09:11:42 2024	1723187502	0	1881	1881	1724
Fri Aug 09 09:11:28 2024	1723187488	4	1879	1883	1641
Fri Aug 09 09:11:28 2024	1723187488	4	1881	1885	1653
Fri Aug 09 09:11:28 2024	1723187488	6	1880	1886	1701
