starttime	seconds	ctime	dtime	ttime	wait
Fri Aug 09 09:11:28 2024	1723187488	4	1340	1345	1339
Fri Aug 09 09:11:35 2024	1723187495	0	1345	1345	1344
Fri Aug 09 09:11:38 2024	1723187498	0	1345	1345	1344
Fri Aug 09 09:11:42 2024	1723187502	0	1345	1345	1316
Fri Aug 09 09:11:51 2024	1723187511	0	1345	1345	1059
Fri Aug 09 09:11:30 2024	1723187490	0	1346	1346	1264
Fri Aug 09 09:11:29 2024	1723187489	0	1346	1346	1245
Fri Aug 09 09:11:39 2024	1723187499	0	1346	1346	1345
Fri Aug 09 09:11:44 2024	1723187504	0	1346	1346	1173
Fri Aug 09 09:11:35 2024	1723187495	0	1347	1347	1310
Fri Aug 09 09:11:30 2024	1723187490	1	1347	1348	1292
Fri Aug 09 09:11:44 2024	1723187504	0	1348	1348	1221
Fri Aug 09 09:11:47 2024	1723187507	0	1348	1349	1102
Fri Aug 09 09:11:37 2024	1723187497	0	1350	1350	1263
Fri Aug 09 09:11:50 2024	1723187510	0	1351	1351	813
Fri Aug 09 09:11:42 2024	1723187502	0	1351	1351	1350
Fri Aug 09 09:11:47 2024	1723187507	0	1351	1352	1351
Fri Aug 09 09:11:32 2024	1723187492	0	1352	1352	1187
Fri Aug 09 09:11:46 2024	1723187506	0	1353	1353	1350
Fri Aug 09 09:11:33 2024	1723187493	0	1354	1354	1297
Fri Aug 09 09:11:36 2024	1723187496	0	1355	1355	1223
Fri Aug 09 09:11:35 2024	1723187495	0	1356	1356	1146
Fri Aug 09 09:11:28 2024	1723187488	5	1351	1356	1349
Fri Aug 09 09:11:31 2024	1723187491	0	1357	1357	1158
Fri Aug 09 09:11:50 2024	1723187510	0	1357	1357	1309
Fri Aug 09 09:11:35 2024	1723187495	0	1357	1358	747
Fri Aug 09 09:11:40 2024	1723187500	0	1358	1358	1216
Fri Aug 09 09:11:46 2024	1723187506	0	1359	1359	1228
Fri Aug 09 09:11:38 2024	1723187498	0	1359	1359	1171
Fri Aug 09 09:11:28 2024	1723187488	4	1355	1359	1354
Fri Aug 09 09:11:42 2024	1723187502	0	1359	1360	1252
Fri Aug 09 09:11:33 2024	1723187493	0	1360	1360	875
Fri Aug 09 09:11:49 2024	1723187509	0	1360	1360	1299
Fri Aug 09 09:11:29 2024	1723187489	0	1360	1361	1232
Fri Aug 09 09:11:50 2024	1723187510	0	1361	1362	1237
Fri Aug 09 09:11:35 2024	1723187495	0	1362	1363	1361
Fri Aug 09 09:11:47 2024	1723187507	0	1363	1363	697
Fri Aug 09 09:11:47 2024	1723187507	0	1363	1363	972
Fri Aug 09 09:11:45 2024	1723187505	0	1363	1363	1207
Fri Aug 09 09:11:42 2024	1723187502	0	1364	1364	1203
Fri Aug 09 09:11:36 2024	1723187496	0	1365	1365	1202
Fri Aug 09 09:11:35 2024	1723187495	0	1365	1365	1359
Fri Aug 09 09:11:28 2024	1723187488	4	1361	1365	1319
Fri Aug 09 09:11:33 2024	1723187493	0	1366	1367	1236
Fri Aug 09 09:11:36 2024	1723187496	0	1366	1367	1365
Fri Aug 09 09:11:37 2024	1723187497	0	1367	1367	1069
Fri Aug 09 09:11:47 2024	1723187507	0	1368	1368	1367
Fri Aug 09 09:11:28 2024	1723187488	5	1363	1368	1276
Fri Aug 09 09:11:41 2024	1723187501	0	1368	1368	1124
Fri Aug 09 09:11:36 2024	1723187496	0	1368	1369	1139
Fri Aug 09 09:11:32 2024	1723187492	0	1369	1369	1135
Fri Aug 09 09:11:47 2024	1723187507	0	1369	1369	1257
Fri Aug 09 09:11:48 2024	1723187508	0	1370	1370	1237
Fri Aug 09 09:11:39 2024	1723187499	0	1370	1370	1050
Fri Aug 09 09:11:34 2024	1723187494	0	1371	1371	1370
Fri Aug 09 09:11:32 2024	1723187492	1	1371	1372	1193
Fri Aug 09 09:11:33 2024	1723187493	0	1374	1374	873
Fri Aug 09 09:11:47 2024	1723187507	0	1374	1374	1220
Fri Aug 09 09:11:33 2024	1723187493	0	1374	1375	886
Fri Aug 09 09:11:38 2024	1723187498	0	1375	1375	1209
Fri Aug 09 09:11:49 2024	1723187509	0	1375	1375	1335
Fri Aug 09 09:11:42 2024	1723187502	0	1376	1376	1293
Fri Aug 09 09:11:35 2024	1723187495	0	1376	1376	1375
Fri Aug 09 09:11:36 2024	1723187496	0	1378	1378	1373
Fri Aug 09 09:11:46 2024	1723187506	0	1379	1379	1362
Fri Aug 09 09:11:28 2024	1723187488	4	1376	1380	1339
Fri Aug 09 09:11:39 2024	1723187499	0	1380	1381	1379
Fri Aug 09 09:11:45 2024	1723187505	0	1381	1381	1233
Fri Aug 09 09:11:32 2024	1723187492	1	1380	1381	1189
Fri Aug 09 09:11:31 2024	1723187491	0	1382	1382	1381
Fri Aug 09 09:11:33 2024	1723187493	0	1382	1383	1381
Fri Aug 09 09:11:46 2024	1723187506	0	1383	1383	1187
Fri Aug 09 09:11:45 2024	1723187505	0	1383	1383	1207
Fri Aug 09 09:11:28 2024	1723187488	6	1378	1384	1308
Fri Aug 09 09:11:45 2024	1723187505	0	1384	1384	1126
Fri Aug 09 09:11:47 2024	1723187507	0	1385	1385	1098
Fri Aug 09 09:11:49 2024	1723187509	0	1385	1385	1034
Fri Aug 09 09:11:50 2024	1723187510	0	1385	1385	1384
Fri Aug 09 09:11:41 2024	1723187501	0	1386	1387	1385
Fri Aug 09 09:11:37 2024	1723187497	0	1388	1388	1228
Fri Aug 09 09:11:32 2024	1723187492	1	1387	1389	1141
Fri Aug 09 09:11:41 2024	1723187501	1	1389	1390	1207
Fri Aug 09 09:11:51 2024	1723187511	0	1391	1391	1375
Fri Aug 09 09:11:40 2024	1723187500	0	1392	1392	1195
